iter	Passed	Remaining
0	0	83
1	1	93
2	3	97
3	3	92
4	5	95
5	5	90
6	6	87
7	7	89
8	8	88
9	10	93
10	11	89
11	12	88
12	12	85
13	14	86
14	15	85
15	15	83
16	16	81
17	17	79
18	18	78
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	69
25	23	68
26	24	66
27	25	65
28	26	63
29	27	63
30	28	62
31	29	61
32	29	60
33	30	58
34	30	57
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	34	49
41	34	48
42	35	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	33
56	43	33
57	44	32
58	44	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	49	24
67	50	23
68	51	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	54	18
75	55	17
76	55	16
77	56	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	59	11
84	60	10
85	60	9
86	61	9
87	61	8
88	62	7
89	62	6
90	63	6
91	63	5
92	64	4
93	65	4
94	65	3
95	66	2
96	66	2
97	67	1
98	67	0
99	68	0
